PupsID,Region,Age,Metabolite,bvalue,Attenuation
4,Thalamus,5,Cr+PCr,3.035,0.6875
4,Thalamus,5,Cr+PCr,6,0.486607142857143
4,Thalamus,5,Cr+PCr,10,0.353571428571429
4,Thalamus,5,Cr+PCr,20,0.263392857142857
4,Thalamus,5,Cr+PCr,30,0.0816964285714286
13,Cerebellum,5,Cr+PCr,0.035,1
13,Cerebellum,5,Cr+PCr,3.035,0.492880613362541
13,Cerebellum,5,Cr+PCr,6,0.530120481927711
13,Cerebellum,5,Cr+PCr,10,0.122672508214677
13,Cerebellum,5,Cr+PCr,20,0.0619934282584885
13,Cerebellum,5,Cr+PCr,30,0.0671412924424973
5,Thalamus,5,Cr+PCr,0.035,1
5,Thalamus,5,Cr+PCr,3.035,0.717948717948718
5,Thalamus,5,Cr+PCr,6,0.484615384615385
5,Thalamus,5,Cr+PCr,10,0.35948717948718
5,Thalamus,5,Cr+PCr,20,0.253846153846154
5,Thalamus,5,Cr+PCr,30,0.146666666666667
14,Cerebellum,5,Cr+PCr,0.035,1
14,Cerebellum,5,Cr+PCr,3.035,0.653266331658292
14,Cerebellum,5,Cr+PCr,6,0.5678391959799
14,Cerebellum,5,Cr+PCr,10,0.417085427135678
14,Cerebellum,5,Cr+PCr,20,0.263819095477387
14,Cerebellum,5,Cr+PCr,30,0.100502512562814
6,Thalamus,5,Cr+PCr,0.035,1
6,Thalamus,5,Cr+PCr,3.035,0.729857819905213
6,Thalamus,5,Cr+PCr,6,0.483412322274882
6,Thalamus,5,Cr+PCr,10,0.345023696682464
6,Thalamus,5,Cr+PCr,20,0.232701421800948
6,Thalamus,5,Cr+PCr,30,0.145497630331754
15,Cerebellum,5,Cr+PCr,0.035,1
15,Cerebellum,5,Cr+PCr,3.035,0.713286713286713
15,Cerebellum,5,Cr+PCr,6,0.543356643356643
15,Cerebellum,5,Cr+PCr,10,0.429370629370629
15,Cerebellum,5,Cr+PCr,20,0.182517482517483
15,Cerebellum,5,Cr+PCr,30,0.0545454545454545
7,Thalamus,5,Cr+PCr,0.035,1
7,Thalamus,5,Cr+PCr,3.035,0.677037037037037
7,Thalamus,5,Cr+PCr,6,0.635555555555556
7,Thalamus,5,Cr+PCr,10,0.423703703703704
7,Thalamus,5,Cr+PCr,20,0.0874074074074074
7,Thalamus,5,Cr+PCr,30,0.0112592592592593
16,Cerebellum,5,Cr+PCr,0.035,1
16,Cerebellum,5,Cr+PCr,3.035,0
16,Cerebellum,5,Cr+PCr,6,0.275862068965517
16,Cerebellum,5,Cr+PCr,10,0.0467084639498433
16,Cerebellum,5,Cr+PCr,20,0.0926332288401254
16,Cerebellum,5,Cr+PCr,30,0.0800940438871473
8,Thalamus,5,Cr+PCr,0.035,1
8,Thalamus,5,Cr+PCr,3.035,0.745945945945946
8,Thalamus,5,Cr+PCr,6,0.531351351351351
