PupId,Region,Age,Metabolite,MixTime,ADC,ADCcorr
2,Thalamus,5,GPC+PCho+Cho,100,0.0607738522646515,0.0607738522646515
2,Thalamus,5,GPC+PCho+Cho,500,0.0966507403287733,0.0966507403287733
2,Thalamus,5,GPC+PCho+Cho,750,0.0922350046068767,0.0922350046068767
2,Thalamus,5,GPC+PCho+Cho,1000,0.011138665639948,0.011138665639948
11,Cerebellum,5,GPC+PCho+Cho,100,0.0101944744573601,0.0101944744573601
11,Cerebellum,5,GPC+PCho+Cho,500,0.00557893078517462,0.00557893078517462
11,Cerebellum,5,GPC+PCho+Cho,750,0.195928888300706,0.195928888300706
11,Cerebellum,5,GPC+PCho+Cho,1000,-0.0833813843775719,0
3,Thalamus,5,GPC+PCho+Cho,100,0,0
3,Thalamus,5,GPC+PCho+Cho,500,0,0
3,Thalamus,5,GPC+PCho+Cho,750,0,0
3,Thalamus,5,GPC+PCho+Cho,1000,0,0
12,Cerebellum,5,GPC+PCho+Cho,100,0.0688011411505713,0.0688011411505713
12,Cerebellum,5,GPC+PCho+Cho,500,0.0464668539659391,0.0464668539659391
12,Cerebellum,5,GPC+PCho+Cho,750,0.0573304501337734,0.0573304501337734
12,Cerebellum,5,GPC+PCho+Cho,1000,0.0179761140085185,0.0179761140085185
4,Thalamus,5,GPC+PCho+Cho,100,0.144598538244797,0.144598538244797
4,Thalamus,5,GPC+PCho+Cho,500,0.0717037932056485,0.0717037932056485
4,Thalamus,5,GPC+PCho+Cho,750,-3.2931563102234,0
4,Thalamus,5,GPC+PCho+Cho,1000,-0.781404111960729,0
13,Cerebellum,5,GPC+PCho+Cho,100,0.164158828365931,0
13,Cerebellum,5,GPC+PCho+Cho,500,0.0504922938142854,0
13,Cerebellum,5,GPC+PCho+Cho,750,0.0299827455543132,0
13,Cerebellum,5,GPC+PCho+Cho,1000,-0.0696972659528531,0
5,Thalamus,5,GPC+PCho+Cho,100,0.441178818865877,0.441178818865877
5,Thalamus,5,GPC+PCho+Cho,500,1.44124631755729,0
5,Thalamus,5,GPC+PCho+Cho,750,-3.44356634542033,0
5,Thalamus,5,GPC+PCho+Cho,1000,-3.29383621527245,0
14,Cerebellum,5,GPC+PCho+Cho,100,0.180128142002512,0.180128142002512
14,Cerebellum,5,GPC+PCho+Cho,500,0.0072309415370866,0.0072309415370866
14,Cerebellum,5,GPC+PCho+Cho,750,0.078438028978155,0.078438028978155
14,Cerebellum,5,GPC+PCho+Cho,1000,0.0424941442483657,0.0424941442483657
6,Thalamus,5,GPC+PCho+Cho,100,0.0924611067504022,0.0924611067504022
6,Thalamus,5,GPC+PCho+Cho,500,0.0680047938017381,0.0680047938017381
6,Thalamus,5,GPC+PCho+Cho,750,0.0630142191556774,0.0630142191556774
6,Thalamus,5,GPC+PCho+Cho,1000,0.0900412534128008,0.0900412534128008
15,Cerebellum,5,GPC+PCho+Cho,100,0.145227155158251,0.145227155158251
15,Cerebellum,5,GPC+PCho+Cho,500,-0.0018365519369899,0
15,Cerebellum,5,GPC+PCho+Cho,750,0.0458432661970727,0.0458432661970727
15,Cerebellum,5,GPC+PCho+Cho,1000,0.0898081012927387,0.0898081012927387
7,Thalamus,5,GPC+PCho+Cho,100,0.0856911536412446,0.0856911536412446
7,Thalamus,5,GPC+PCho+Cho,500,0.0582055034731831,0.0582055034731831
7,Thalamus,5,GPC+PCho+Cho,750,0.0898878556497008,0.0898878556497008
7,Thalamus,5,GPC+PCho+Cho,1000,0.0937503940404968,0.0937503940404968
16,Cerebellum,5,GPC+PCho+Cho,100,0.178225613196057,0
16,Cerebellum,5,GPC+PCho+Cho,500,0.11376772129696,0
16,Cerebellum,5,GPC+PCho+Cho,750,0.13875867473746,0
16,Cerebellum,5,GPC+PCho+Cho,1000,0.0482971181381539,0.0482971181381539
8,Thalamus,5,GPC+PCho+Cho,100,0.186529087567082,0.186529087567082
